Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age (day),Concrete compressive strength,Water/Cement Ratio
162,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76226077,0.357457017
491,26,123,201,3.93,822,699,28,57.915984,0.3140625
313,145,0,178,8,867,824,28,44.38846488,0.388646288
296,0,106.7,221.4,10.5,819.2,778.4,28,31.4201108,0.549788925
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.6118551,0.395937928
313.3,0,113,178.5,8,1001.9,688.7,28,36.80491836,0.418719212
149,139,109,193,6,892,780,28,23.69039536,0.486146096
165,0.02,143.57,163.81,0,1005.6,900.9,100,37.9556538,0.530833792
405,0,0,175,0,1120,695,28,52.30364936,0.432098765
304,76,0,228,0,932,670,270,54.37828264,0.6
342,38,0,228,0,932,670,270,55.06431126,0.6
141.3,212,0,203.5,0,971.8,748.5,90,39.6621069,0.575997736
237.5,237.5,0,228,0,932,594,90,33.11691123,0.48
376,0,0,214.6,0,1003.5,762.36,28,31.97100212,0.570744681
252.5,0,0,185.7,0,1111.6,784.3,28,19.76520849,0.735445545
213.5,0,174.24,154.61,11.66,1052.3,775.48,28,45.93978588,0.398746583
158.8,238.2,0,185.7,0,1040.6,734.3,28,21.0662497,0.467758186
500,0,0,200,0,1125,613,270,55.15808,0.4
331,0,0,192,0,1025,821,90,37.91428524,0.580060423
150,237,0,174,12,1069,675,28,37.43165204,0.449612403
480,0,0,192,0,936,721,28,43.89204216,0.4
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,56,48.9872698,0.403530954
212,141.3,0,203.5,0,973.4,750,90,39.70002808,0.575997736
296,0,0,186,0,1090,769,28,25.17966352,0.628378378
310,143,111,168,22,914,651,28,33.68779736,0.29787234
379.5,151.2,0,153.9,15.9,1134.3,605,91,56.49566344,0.289994347
350,0,0,186,0,1050,770,28,34.29453624,0.531428571
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.74417449,0.571473453
251.37,0,118.27,188.45,5.75,1028.4,757.73,28,29.65436276,0.509820366
303.6,139.9,0,213.5,6.2,895.5,722.5,28,33.4195912,0.481397971
393,0,0,192,0,940,758,90,48.79421652,0.488549618
246.83,0,125.08,143.3,11.99,1086.8,800.89,56,60.32225524,0.385308274
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.79827342,0.373928643
194.68,0,100.52,170.17,7.48,998,901.8,56,43.38872468,0.57645664
349,0,0,192,0,1047,806,90,39.48629052,0.550143266
446,24,79,162,11.64,967,712,28,51.021224,0.295081967
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316,0.298948513
238.05,0,94.11,186.66,7,949.91,847.01,56,39.58971192,0.561958092
356,0,142,193,11,801,778,28,40.86524252,0.387550201
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,56,53.77223324,0.414912369
254,0,0,198,0,968,863,180,27.62730332,0.779527559
425,106.3,0,151.4,18.6,936,803.7,56,64.90037588,0.284961415
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,56,35.852752,0.437437214
424,22,132,178,8.48,822,750,56,65.69721315,0.307958478
220.8,147.2,0,185.7,0,1055,744.3,28,25.74503384,0.504619565
313.3,145,0,178.5,8,1001.9,688.7,28,41.05346947,0.389482871
198.6,132.4,0,192,0,978.4,825.5,90,38.07424367,0.580060423
469,117.2,0,137.8,32.2,852.1,840.5,56,69.29923276,0.235073354
164,163,128,197,8,961,641,28,27.234302,0.432967033
315,137,0,145,5.9,1130,745,28,81.75116932,0.32079646
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476,0.298948513
323.7,282.8,0,183.8,10.3,942.7,659.9,56,80.19984832,0.303050289
295.71,0,95.64,171.54,8.87,955.14,859.2,56,48.71837416,0.438328862
313,0,0,178,8,1000,822,28,25.0969264,0.568690096
139.6,209.4,0,192,0,1047,806.9,90,39.35804798,0.550143266
252.31,0,98.75,146.25,14.17,987.76,889.01,56,55.82687172,0.416595454
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99482412,0.297003284
155,184,143,194,9,880,699,28,28.98557104,0.402489627
333,0,0,192,0,931.2,842.6,28,31.96686526,0.576576577
387,20,94,157,11.61,938,845,56,61.45989064,0.313373253
261,100,78,201,9,864,761,28,32.39847724,0.45785877
159,209,161,201,7,848,669,28,30.88163004,0.379962193
190.68,0,125.4,162.14,7.77,1090,804.01,28,26.40003604,0.5129714
266,112,87,178,10,910,745,28,39.41734292,0.382795699
166.09,0,163.27,176.46,4.49,1058.6,780.09,100,33.5430074,0.535766335
475,0,0,228,0,932,594,365,41.9346198,0.48
321.4,0,127.9,182.5,11.5,870.1,779.7,28,37.26548832,0.406187403
139.6,209.4,0,192,0,1047,806.9,28,28.23748958,0.550143266
310,0,0,192,0,970,850,28,27.923778,0.619354839
203.5,305.3,0,203.5,0,963.4,630,90,51.86376367,0.399960692
143.6,0,174.9,158.4,17.9,942.7,844.5,28,15.42357812,0.49733124
446,24,79,162,11.61,967,712,28,57.02655996,0.295081967
154,174,185,228,7,845,612,28,24.3385028,0.444444444
425,106.3,0,153.5,16.5,852.1,887.1,28,60.2946762,0.288913985
531.3,0,0,141.8,28.2,852.1,893.7,91,59.19840936,0.266892528
251.37,0,118.27,192.94,5.75,1043.6,754.3,28,33.27411176,0.52196732
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436,0.298948513
155,183,0,193,9,877,868,28,23.786922,0.571005917
165,0.02,143.57,163.81,0,1005.6,900.9,56,36.56291228,0.530833792
321,0,128,182,11,870,780,28,37.25928304,0.405345212
212.57,0,100.39,159.35,10.37,1003.8,903.79,56,44.39535964,0.509170501
322,0,0,203,0,974,800,28,25.17966352,0.630434783
475,0,0,162,9.5,1044,662,28,58.52272288,0.341052632
310,0,0,192,0,970,850,180,37.32823064,0.619354839
349,0,0,192,0,1056,809,28,33.60506024,0.550143266
147,115,89,202,9,860,829,28,19.98790924,0.575498575
387,20,94,157,13.93,938,845,56,47.96684532,0.313373253
425,106.3,0,153.5,16.5,852.1,887.1,28,60.2946762,0.288913985
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.14768782,0.461040642
322,0,116,196,10,818,813,28,31.17810472,0.447488584
374,189.2,0,170.1,10.1,926.1,756.7,91,64.90037588,0.302024148
255,99,77,189,6,919,749,28,33.79811352,0.438515081
251.37,0,118.27,188.45,6.35,1028.4,757.73,56,36.63875464,0.509820366
288,121,0,177,7,908,829,28,42.13387836,0.432762836
331,0,0,192,0,978,825,28,31.44700036,0.580060423
500,0,0,200,0,1125,613,28,44.0919902,0.4
427.5,47.5,0,228,0,932,594,270,43.01296026,0.48
222.36,0,96.67,189.29,4.46,967.08,870.32,56,29.44751996,0.593329781
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77327244,0.38869902
288,192,0,192,0,932,717.8,28,38.80439876,0.4
425,106.3,0,153.5,16.5,852.1,887.1,56,64.30053176,0.288913985
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,56,66.82401392,0.402283025
194.68,0,100.52,165.62,7.48,1006.4,905.9,100,37.34202016,0.56104336
190.34,0,125.18,161.85,9.88,1088.1,802.59,56,38.56239268,0.512962728
140,133,103,200,7,916,753,28,36.4388066,0.531914894
251.37,0,118.27,192.94,5.75,1043.6,754.3,100,40.14818748,0.52196732
313,145,0,127,8,1000,822,28,44.51946532,0.277292576
139.6,209.4,0,192,0,1047,806.9,180,44.20782217,0.550143266
233.81,0,94.58,197.89,4.567,947.04,852.16,100,34.55653712,0.602606657
213.74,0,174.74,154.79,10.16,1053.5,776.35,100,50.07664188,0.398450371
425,106.3,0,153.5,16.5,852.1,887.1,56,64.30053176,0.288913985
152,178,139,168,18,944,695,28,36.34917472,0.358208955
250,0,95.69,191.84,5.33,948.9,857.2,56,39.64487,0.554948075
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,28,55.50971276,0.354846842
450.1,50,0,200,3,1124.4,613.2,28,39.37597436,0.399920016
304,76,0,228,0,932,670,28,47.81378165,0.6
380,0,0,228,0,932,670,90,52.90831981,0.6
342,38,0,228,0,932,670,365,56.14196225,0.6
273,105,82,210,9,904,680,28,37.16965116,0.456521739
333,0,0,192,0,931.2,842.6,90,41.68020315,0.576576577
236,0,0,194,0,968,885,90,21.94602108,0.822033898
236,157,0,192,0,972.6,749.1,28,32.88455782,0.488549618
255,0,0,192,0,889.8,945,90,21.8591471,0.752941176
475,0,0,228,0,932,594,180,42.62064842,0.48
375,0,0,186,0,1038,758,28,38.21075992,0.496
134.7,0,165.7,180.2,10,961,804.9,28,13.29378676,0.599866844
331,0,0,192,0,1025,821,28,31.74347504,0.580060423
149,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52423164,0.51046609
153,239,0,200,6,1002,684,28,26.8550902,0.510204082
252,0,0,185,0,1111,784,28,19.69143456,0.734126984
299.8,0,119.8,211.5,9.9,878.2,727.6,28,23.8358748,0.504051478
135,0,166,180,10,961,805,28,13.29309728,0.598006645
116,173,0,192,0,909.8,891.9,90,31.0236621,0.664359862
190,190,0,228,0,932,670,28,40.85696881,0.6
152.7,144.7,0,178.1,8,999.7,822.2,28,19.0095428,0.598856759
349,0,0,192,0,1056,809,120,40.85834776,0.550143266
374.3,0,0,190.2,6.7,1013.2,730.4,28,39.0560575,0.508148544
250,180,95,159,9.45,860,800,28,67.86512268,0.302857143
200,133,0,192,0,965.4,806.2,90,43.25082948,0.576576577
260,101,78,171,10,936,763,28,49.77327244,0.38952164
190.34,0,125.18,161.85,9.88,1088.1,802.59,100,40.38950408,0.512962728
310,0,0,192,0,1012,830,120,38.70028788,0.619354839
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,100,49.99390476,0.421968436
475,118.8,0,181.1,8.9,852.1,781.5,91,74.19451236,0.304984843
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42147978,0.381759657
153,102,0,192,0,888,943.1,28,17.96429718,0.752941176
165,0.02,143.57,163.81,0,1005.6,900.9,28,26.200088,0.530833792
374,0,0,190,7,1013,730,28,39.05192064,0.50802139
166.8,250.2,0,203.5,0,975.6,692.6,90,43.56523054,0.488009592
149,153,194,192,8,935,623,28,24.5798194,0.387096774
304,76,0,228,0,932,670,90,49.18514941,0.6
212.52,0,100.37,159.32,8.71,1007.8,903.59,56,42.54756396,0.509188533
540,0,0,173,0,1125,613,28,67.30664712,0.32037037
380,95,0,228,0,932,594,365,43.6982994,0.48
166.8,250.2,0,203.5,0,975.6,692.6,28,33.94772981,0.488009592
469,117.2,0,137.8,32.2,852.1,840.5,91,70.69886904,0.235073354
491,26,123,210,3.93,882,699,28,55.55108132,0.328125
102,153,0,192,0,887,942,90,25.46096973,0.752941176
198.6,132.4,0,192,0,978.4,825.5,180,41.71950328,0.580060423
194.68,0,100.52,165.62,7.48,1006.4,905.9,56,33.96358776,0.56104336
156,178,187,221,7,854,614,28,29.41304616,0.424184261
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.21558625,0.297570491
469,117.2,0,137.8,32.2,852.1,840.5,28,66.89985628,0.235073354
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.69964844,0.297003284
277,116.8,91,190.6,7,946.5,665.6,28,43.57833058,0.393151815
288.4,121,0,177.4,7,907.9,829.5,28,42.14008364,0.433317049
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316,0.298948513
425,106.3,0,153.5,16.5,852.1,887.1,91,65.19685056,0.288913985
190.34,0,125.18,166.61,9.88,1079,798.9,56,31.715896,0.528048935
254,0,0,198,0,968,863,90,26.94472208,0.779527559
229.97,0,118.31,195.47,4.63,1029.4,758.59,28,24.48329276,0.561243827
147.8,175.1,0,171.2,2.2,1000,828.5,28,26.92265885,0.530195107
326,0,138,199,11,801,792,28,40.679084,0.42887931
321.3,164.2,0,190.5,4.6,870,774,28,57.21823429,0.392378991
350,0,0,203,0,974,775,28,27.3377234,0.58
376,0,0,214.6,0,1003.5,762.36,56,36.3009114,0.570744681
425,106.3,0,153.5,16.5,852.1,887.1,91,65.19685056,0.288913985
307,0,0,193,0,968,812,28,27.53077668,0.628664495
237.5,237.5,0,228,0,932,594,365,38.99538361,0.48
143,169.4,142.7,190.7,8.4,967.4,643.5,28,29.72606826,0.419028785
350,0,0,203,0,974,775,56,29.97841648,0.58
296,0,107,221,11,819,778,28,31.41942132,0.548387097
277,0,0,191,0,968,856,28,25.96566616,0.689530686
144,170,133,192,8,814,805,28,29.86810032,0.429530201
446,24,79,162,11.64,967,712,28,44.42293868,0.295081967
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,28,37.81086384,0.403530954
213.74,0,174.74,154.79,10.16,1053.5,776.35,28,40.14818748,0.398450371
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,28,24.24197616,0.325656663
277.05,0,97.39,160.6,11.83,973.9,875.61,56,51.03501352,0.428907168
424,22,132,168,8.92,822,750,28,72.09850532,0.290657439
212.52,0,100.37,159.32,8.71,1007.8,903.59,100,42.919881,0.509188533
155,0,143,193,9,877,868,28,9.73540112,0.647651007
213.5,0,174.24,159.21,11.66,1043.6,771.9,28,44.63667624,0.410610203
255.5,170.3,0,185.7,0,1026.6,724.3,28,32.05167081,0.436120244
246.83,0,125.08,143.3,11.99,1086.8,800.89,100,66.42411784,0.385308274
277,0,0,191,0,968,856,90,31.25394708,0.689530686
148.1,0,182.1,181.4,15,838.9,884.3,28,15.52631004,0.549364022
229.68,0,118.16,195.23,6.13,1028.1,757.63,100,40.85834776,0.561263799
146.5,114.6,89.3,201.9,8.8,860,829.5,28,19.98790924,0.57619863
212.57,0,100.39,159.35,10.37,1003.8,903.79,28,37.404073,0.509170501
251.81,0,99.94,146.14,12.35,1006,899.76,28,33.94290348,0.415465529
310,0,0,192,0,970,850,90,34.6806428,0.619354839
210.7,316.1,0,185.7,0,977,689.3,28,37.81362174,0.352505695
425,106.3,0,153.5,16.5,852.1,887.1,56,64.30053176,0.288913985
336.5,0,0,181.9,3.4,985.8,816.8,28,44.86834018,0.540564636
310,143,0,168,10,914,804,28,45.2985732,0.370860927
190.68,0,125.4,162.14,7.77,1090,804.01,100,40.56876784,0.5129714
200,200,0,190,0,1145,660,28,49.24927068,0.475
190,190,0,228,0,932,670,180,46.93194184,0.6
239.6,359.4,0,185.7,0,941.6,664.3,28,39.4352693,0.310016694
251.37,0,118.27,188.45,5.75,1028.4,757.73,100,43.58177796,0.509820366
194.68,0,100.52,165.62,7.48,1006.4,905.9,28,25.72434956,0.56104336
475,0,0,228,0,932,594,28,39.28978986,0.48
425,106.3,0,153.5,16.5,852.1,887.1,28,60.2946762,0.288913985
388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.69717028,0.325097797
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.3498642,0.357447717
149,236,0,176,13,847,893,28,32.9569528,0.457142857
400,0,0,187,0,1025,745,28,43.69898888,0.4675
366,187,0,191,7,824,757,28,65.90701084,0.345388788
166,260,0,183,13,859,827,28,37.91428524,0.429577465
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87085822,0.429115342
342,38,0,228,0,932,670,180,52.1243856,0.6
183.9,122.6,0,203.5,0,959.2,800,28,24.04616498,0.663947798
164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.03393426,0.576507937
302,0,0,203,0,974,817,28,21.7529678,0.67218543
393,0,0,192,0,940,758,28,39.58281716,0.488549618
122.6,183.9,0,203.5,0,958.2,800.1,28,24.29092896,0.663947798
332.5,142.5,0,228,0,932,594,365,41.05277999,0.48
173,116,0,192,0,946.8,856.8,28,24.28196577,0.664359862
155,183,0,193,9,1047,697,28,18.28490352,0.571005917
427.5,47.5,0,228,0,932,594,180,41.8367142,0.48
151,0,185,167,16,1074,678,28,13.45857152,0.49702381
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,28,45.70536404,0.540353277
296,0,0,192,0,1085,765,28,21.6495464,0.648648649
380,95,0,228,0,932,594,180,40.75906322,0.48
251.37,0,118.27,188.45,6.35,1028.4,757.73,28,32.66047812,0.509820366
281,0,0,185,0,1104,774,28,22.43554904,0.658362989
298,0,107,186,6,879,815,28,42.63719584,0.459259259
349,0,0,192,0,1047,806,28,32.72253096,0.550143266
250,0,95.69,187.42,5.53,956.86,861.17,100,42.34761592,0.542162053
236,0,0,194,0,968,885,28,18.41590396,0.822033898
500,0,0,200,0,1125,613,90,47.22221124,0.4
160.2,188,146.4,203.2,11.3,828.7,709.7,28,35.31427124,0.41083704
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.79825348,0.304952215
540,0,0,173,0,1125,613,180,71.62276688,0.32037037
387,20,94,157,14.32,938,845,28,50.23522136,0.313373253
446,24,79,162,11.64,967,712,56,55.25460664,0.295081967
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.69782984,0.303050289
238,0,0,185,0,1118,789,28,17.54026944,0.777310924
317.9,0,126.5,209.7,5.7,860.5,736.6,28,40.06200298,0.471872187
277.05,0,97.39,160.6,11.83,973.9,875.61,100,55.6407132,0.428907168
261.9,110.5,86.1,195.4,5,895.2,732.6,28,33.71882378,0.426172301
238.05,0,94.11,186.66,7,949.91,847.01,100,44.298833,0.561958092
254,0,0,198,0,968,863,365,29.7853632,0.779527559
251.37,0,118.27,188.45,6.35,1028.4,757.73,100,44.20920112,0.509820366
337.9,189,0,174.9,9.5,944.7,755.8,28,49.89737812,0.331941545
122.6,183.9,0,203.5,0,958.2,800.1,90,33.19206412,0.663947798
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,100,56.06129356,0.414912369
266,114,0,228,0,932,670,270,51.73276323,0.6
451,0,0,165,11.25,1030,745,28,78.80021204,0.365853659
108.3,162.4,0,203.5,0,938.2,849,90,29.23171397,0.75175471
427.5,47.5,0,228,0,932,594,90,41.54299743,0.48
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,28,31.2677366,0.487400493
284,15,141,179,5.46,842,801,56,44.52045028,0.406818182
295,0,0,185,0,1069,769,28,25.17966352,0.627118644
135,105,193,196,6,965,643,28,21.91154728,0.452655889
382,0,0,185,0,1047,739,28,37.42475728,0.484293194
425,106.3,0,153.5,16.5,852.1,887.1,91,65.19685056,0.288913985
148.5,139.4,108.6,192.7,6.1,892.4,780,28,23.69660064,0.486002522
307,0,0,193,0,968,812,90,32.922479,0.628664495
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,100,39.2311844,0.325656663
159,187,0,176,11,990,789,28,32.76389952,0.50867052
273,0,90,199,11,931,762,28,32.23989776,0.548209366
388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.19944856,0.325097797
275,180,120,162,10.35,830,765,28,76.23536132,0.28173913
281,0,0,186,0,1104,774,28,22.43554904,0.661921708
162,214,164,202,10,820,680,28,30.6472082,0.374074074
222.36,0,96.67,189.29,4.46,967.08,870.32,100,40.7135578,0.593329781
237.5,237.5,0,228,0,932,594,28,30.07976945,0.48
108.3,162.4,0,203.5,0,938.2,849,28,20.59395864,0.75175471
165,128.5,132.1,175.06,8.08,1005.8,746.6,100,55.0201848,0.411325188
305.3,203.5,0,203.5,0,965.4,631,28,43.37700359,0.399960692
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100,48.15300384,0.472133592
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,100,50.93848688,0.403530954
132,207,161,179,5,867,736,28,33.3016908,0.358
136,196,98,199,6,847,783,28,26.96540636,0.462790698
233.81,0,94.58,197.89,4.567,947.04,852.16,28,22.83544512,0.602606657
310,0,0,192,0,1012,830,28,27.82725136,0.619354839
250.2,166.8,0,203.5,0,977.6,694.1,28,36.96418731,0.488009592
167,75.4,167,164.03,7.91,1007.3,770.1,28,41.40992856,0.400659502
154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.786922,0.571555293
190.34,0,125.18,166.61,9.88,1079,798.9,28,24.84871504,0.528048935
160,250,0,168,12,1049,688,28,39.45181672,0.409756098
266,114,0,228,0,932,670,180,48.69562145,0.6
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,100,66.9481196,0.402283025
298.2,0,107,209.7,11.1,879.6,744.2,28,31.87516496,0.517522211
313,0,113,178,8,1002,689,28,36.80422888,0.417840376
264.5,111,86.5,195.5,5.9,832.6,790.4,28,41.54230795,0.423160173
500,0,0,151,9,1033,655,28,69.83702404,0.302
143,169,143,191,8,967,643,28,29.72331036,0.41978022
190.34,0,125.18,161.85,9.88,1088.1,802.59,28,28.46846404,0.512962728
397,0,0,185,0,1040,734,28,39.0932892,0.465994962
200,0,0,180,0,1125,845,28,12.24509376,0.9
250.2,166.8,0,203.5,0,977.6,694.1,90,47.7144971,0.488009592
159.1,186.7,0,175.6,11.3,989.6,788.9,28,32.76803638,0.507807981
312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.44637089,0.375158428
439,177,0,186,11.1,884.9,707.9,91,73.29819356,0.301948052
238.2,158.8,0,185.7,0,1040.6,734.3,28,26.91369566,0.467758186
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100,63.52831864,0.354846842
